,Unnamed: 0,client_id,gender,birth_date,create_date,nonresident_flag,city,contract_sum,product_category_name,card_id,card_type_name,start_date,fact_close_date,purchase_sum,purchase_count,current_balance_avg_sum,current_balance_sum,current_debit_turn_sum,current_credit_turn_sum,card_type
28,63756,8485ea9e38482765b754c96601f0f9b6,Ж,2003,2018-09-19,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,048a05f6fcf3e924ace054b5a55ce1b7,"Дебет карта ПС МИР ""Бюджетная""",2018,2022,0,0,900,0,1400,700,dc
29,236184,35e0810d07c50360aff8f47b8937e7ff,Ж,1985,2015-08-14,R,Воронеж,10100,Договор на текущий счет для дебетовой карты,8986d7a2cbaea59e6b9711e21ddab945,VISA Classic,2021,-1,0,0,10300,10100,45000,45000,dc
30,236185,35e0810d07c50360aff8f47b8937e7ff,Ж,1985,2015-08-14,R,Воронеж,10100,Договор на текущий счет для дебетовой карты,c42dce97904b8a7d4707fbdb0ce1e168,VISA Classic,2015,2018,0,0,10300,10100,45000,45000,dc
31,45,2ef935bec18baa658514c08a08d6e724,М,1979,2015-12-15,R,Уфа,0,Договор на текущий счет для дебетовой карты,9eb82d04b35bfc6c6d4e386ffa996d90,VISA Classic Light,2018,2020,0,0,0,0,0,0,dc
32,46,dced080300185214cd1dea2ca7a45415,Ж,1991,2018-11-19,R,Санкт-Петербург,150000,Кредитная карта,377d3eb4675ed6befc96cc3ed875221c,,-1,-1,12700,7,700,0,16600,16600,dc
33,55225,7ca80fb871ed2d110cc04d1f3c185529,Ж,1967,2019-07-25,R,Ставрополь,0,Договор на текущий счет для дебетовой карты,fd53b53c4d54e732d8ba715643294152,Eurocard/MasterCard Platinum,2020,2021,0,0,30800,22200,40100,19400,dc
34,45151,387594a42c333135edfc141a22576967,М,1969,2019-10-28,R,Ярославль,0,Договор на текущий счет для дебетовой карты,ebb2735de1613ad9e76ba70c4eb8198f,Eurocard/MasterCard World,2019,-1,67700,30,59500,1200,406200,407200,dc
35,49,366b60b00dcecd39233778d64381b722,Ж,1958,2013-03-14,R,Октябрьский,0,Договор на текущий счет для дебетовой карты,2a1532c6f5f9638770f13b746be99826,Eurocard/MasterCard Gold,2018,2019,0,0,0,0,0,0,dc
36,128222,0c96685223847e1de1401ffe08fab08a,Ж,1992,2019-08-06,R,Краснодар,300,Договор на текущий счет для дебетовой карты,c2d182cdb8c3d844df8aba9a0119c5a1,МИР Debit,2019,-1,3200,15,9900,1800,93600,95400,dc
37,17098,efa3cddb4222c682ad70581ab15f3d0f,Ж,1985,2013-11-13,R,Челябинск,0,Договор на текущий счет для дебетовой карты,f0d58c288a82bd35504380f74fe71a84,VISA Classic Light,2020,-1,1800,27,400,0,2800,2800,dc
38,55,82bcc82c9a8cb78654cdef9ca3b5f799,Ж,1990,2019-06-10,R,Брянск,0,Договор на текущий счет для дебетовой карты,8cfa7b5a30b1ecd991da2aaa86f6cb11,,-1,-1,0,0,0,0,0,0,dc
39,56,27d7ac6c1a04a226e3c9b08177705c1e,Ж,1998,2016-10-12,R,Краснодар,300,Договор на текущий счет для дебетовой карты,e715d095bea7dacc3e91b5304689d342,МИР Debit,2017,2021,3100,4,6200,7400,9900,6900,dc
40,57,27d7ac6c1a04a226e3c9b08177705c1e,Ж,1998,2016-10-12,R,Краснодар,300,Договор на текущий счет для дебетовой карты,ea78a667b39f4c04fcf6f10684654de6,"Дебет карта ПС МИР ""Бюджетная""",2020,-1,3100,4,6200,7400,9900,6900,dc
41,58,27d7ac6c1a04a226e3c9b08177705c1e,Ж,1998,2016-10-12,R,Краснодар,300,Договор на текущий счет для дебетовой карты,47454939f4635835d08dbb4e1e7f843d,VISA Classic Light,2016,2018,3100,4,6200,7400,9900,6900,dc
42,141685,edcf4ff6717e644db9fab0e18820a66f,Ж,1967,2008-05-12,R,Уфа,0,Договор на текущий счет для дебетовой карты,e4bde30fe202904f0dd238e7be936b89,,-1,-1,0,0,100,0,100,0,dc
43,137410,4c859d135339586bbf0841b24f91163f,Ж,1968,2012-07-24,R,Уфа,200,Договор на текущий счет для дебетовой карты,c964802f11857b933e44e7f60a9161e8,"Дебет карта ПС МИР ""Бюджетная""",2021,-1,0,0,6000,100,93800,55800,dc
44,137411,4c859d135339586bbf0841b24f91163f,Ж,1968,2012-07-24,R,Уфа,200,Договор на текущий счет для дебетовой карты,6384e02756f108e4365dd76867f00ce1,"Дебет карта ПС МИР ""Бюджетная""",2018,-1,0,0,6000,100,93800,55800,dc
45,70,7ed0f5e8ab89ca9232821eb9c8dffe59,Ж,1988,2018-09-05,R,Ростов-на-Дону,0,Договор на текущий счет для дебетовой карты,8678bc4975109327b71fe802efb27376,,-1,-1,0,0,0,0,0,0,dc
46,71,6e72f64e0d3f6219594a910c1fac3f9b,М,1972,2006-04-12,R,Уфа,0,Договор на текущий счет для дебетовой карты,a3d9003265f74297d1574d0df47f30c8,,-1,-1,0,0,0,0,0,0,dc
47,38829,04eaf44dabc9f48e7337f70636327098,М,1964,2020-06-17,R,Москва,100,Договор на текущий счет для дебетовой карты,758fba9fe004257ee330246c64fa1978,VISA Classic,2020,-1,17300,27,21100,13500,17800,31300,dc
48,75,74ec986d945229e7240d40680ead31ba,М,1960,2020-06-10,R,Салават,0,Договор на текущий счет для дебетовой карты,f9e79a32f5724b2ecbd644bb9e0ac139,Visa Platinum Rewards,2020,2021,0,0,0,0,0,0,dc
49,60774,6744d32fb7492ad5a51847d11afb6eaa,Ж,1992,2017-10-31,R,Уфа,0,Договор на текущий счет для дебетовой карты,b84e1f2e380adbfc203eff8777d36031,МИР Debit,2017,2021,0,0,0,0,100,100,dc
50,42783,b05a5f11f648828c9ea1f78ca45ac714,М,1990,2017-03-14,R,Сибай,0,Договор на текущий счет для дебетовой карты,a24ba3b9d73f699351982415b4729b4b,VISA Classic,2017,2020,0,0,4800,14200,105200,119400,dc
51,42784,b05a5f11f648828c9ea1f78ca45ac714,М,1990,2017-03-14,R,Сибай,0,Договор на текущий счет для дебетовой карты,c0f1bd22620a59f46717e2eccffb6372,VISA Classic,2020,-1,0,0,4800,14200,105200,119400,dc
52,165884,210cfa14a867fd4d895ff6ed23165562,Ж,1980,2010-07-07,R,Уфа,0,Договор на текущий счет для дебетовой карты,757473840e134aa71091e9d6d1836434,VISA Classic,2019,-1,0,0,400,0,1000,1000,dc
53,94094,63d0438c9cec2801be33201acb409aa4,М,1970,2020-04-02,R,Старый Оскол,0,Договор на текущий счет для дебетовой карты,80c00031904e3186c56c6971429957ad,Eurocard/MasterCard Mass,2020,-1,11600,45,93200,57800,162300,82900,dc
54,81,6d1f099b77ee678d2dc5c3dca74ef794,Ж,1978,2015-03-10,R,Уфа,0,Договор на текущий счет для дебетовой карты,1e0806bebdd4a0e69994a626a9b24f18,,-1,-1,0,0,0,0,0,0,dc
55,82,e9a1ae3f5b82ca41e36b7fa74fd470bd,М,1979,2020-03-19,N,Набережные Челны,0,Договор на текущий счет для дебетовой карты,0ccbea90b8a180d8066cefdcd43a1c2b,,-1,-1,0,0,0,0,0,0,dc
56,83,096d21777d525c6cfa40dcccfbbbf592,Ж,1981,2007-03-06,R,Уфа,0,Договор на текущий счет для дебетовой карты,3eb358c4740dba0161b20af7c286fd3d,VISA Classic,2019,-1,14000,27,3500,0,26100,18900,dc
57,209809,aeda8727b356bbf475e3c6d0d85a14cc,Ж,2002,2018-09-12,R,Краснодар,0,Договор на текущий счет для дебетовой карты,0ed953ba365ea29ff1773995d9c5fbd7,"Дебет карта ПС МИР ""Бюджетная""",2021,-1,8500,4,2600,100,10400,8900,dc
58,209810,aeda8727b356bbf475e3c6d0d85a14cc,Ж,2002,2018-09-12,R,Краснодар,0,Договор на текущий счет для дебетовой карты,9a63ef73e613d632a078f829fbf46087,"Дебет карта ПС МИР ""Бюджетная""",2018,-1,8500,4,2600,100,10400,8900,dc
59,125032,dbb9e8ae0767fa6f34bc59f10c408c6f,Ж,1986,2012-09-06,R,Уфа,0,Договор на текущий счет для дебетовой карты,e89a03c75ac88f3e0c3a1c5e70d67f59,МИР СКБ ЗП,2017,2021,0,0,100,300,5600,5800,dc
60,256934,f6ae6e7e6160922cecd6911247d873e6,Ж,1964,2015-01-26,R,Уфа,0,Договор на текущий счет для дебетовой карты,4ddf7b99d14840367a938a89f27a933e,MasterCard Electronic,2015,2021,0,0,200,0,1500,1500,dc
61,169344,cc93a5573ab437b6e18294d8b13d0417,М,1960,2015-03-06,R,Уфа,0,Договор на текущий счет для дебетовой карты,f553e5099403403a8143a8e426703fd7,МИР Debit,2020,-1,0,0,3500,100,23300,23300,dc
62,169345,cc93a5573ab437b6e18294d8b13d0417,М,1960,2015-03-06,R,Уфа,0,Договор на текущий счет для дебетовой карты,abf9e5585d8d6af5b510240ad40ccb56,МИР Debit,2017,2020,0,0,3500,100,23300,23300,dc
63,90,135c516d3c098142543c5eb08e39dca2,Ж,2001,2018-07-18,R,Давлеканово,0,Договор на текущий счет для дебетовой карты,d30a76abb043bcec7bfc7d47d61ff8e7,,-1,-1,0,0,0,0,0,0,dc
64,56055,9e45d5f269be7981d0b473ea3be9cdef,М,1971,2009-03-24,R,Мраково,101100,Договор на текущий счет для дебетовой карты,a89e141c566b0e1caf6e6e70e1442fc4,Eurocard/MasterCard Mass,2020,-1,0,0,700,0,563700,543200,dc
65,56056,9e45d5f269be7981d0b473ea3be9cdef,М,1971,2009-03-24,R,Мраково,101100,Договор на текущий счет для дебетовой карты,7f7c6570749c8a313f8291eb727c3f88,VISA Classic Light,2017,2020,0,0,700,0,563700,543200,dc
66,96,b4b15e23f9cffc8d137c2925a4786e21,Ж,1986,2015-11-20,R,Мелеуз,0,Договор на текущий счет для дебетовой карты,3419827d00486099b4720145dacd4ba9,МИР СКБ,2021,2022,0,0,0,0,0,0,dc
67,97,fb71a4f667e797a3563cfd258b1b31cd,Ж,1947,2001-08-29,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,38f878587b77d53757bdf9646f5a4681,МИР Debit,2018,2021,0,0,2900,0,21400,21400,dc
68,18431,fb71a4f667e797a3563cfd258b1b31cd,Ж,1947,2001-08-29,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,38f878587b77d53757bdf9646f5a4681,МИР Debit,2018,2021,0,0,2100,0,21400,21400,dc
69,98,fb71a4f667e797a3563cfd258b1b31cd,Ж,1947,2001-08-29,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,d53f52285cfc7c2bcabda45ffa3abd6d,МИР Debit,2021,-1,0,0,2900,0,21400,21400,dc
70,18432,fb71a4f667e797a3563cfd258b1b31cd,Ж,1947,2001-08-29,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,d53f52285cfc7c2bcabda45ffa3abd6d,МИР Debit,2021,-1,0,0,2100,0,21400,21400,dc
71,255335,4954fcd8fe9d53bee3d976c073390bd1,М,1995,2019-09-26,R,Краснодар,0,Договор на текущий счет для дебетовой карты,24074bc72863aebc4c616fbb58b8b837,,-1,-1,0,0,200,0,107400,107000,dc
72,118941,fec8abb9302d015e38d90e0103f068df,М,1982,2013-02-11,R,Салават,1000,Договор на текущий счет для дебетовой карты,3063400a0e4c8c063f9f0a53986b10c3,Eurocard/MasterCard Gold,2020,-1,37700,53,76300,7500,925100,932500,dc
73,259234,25d5c798dea45b11ad7770e70d2ed6f5,М,1962,2016-01-28,R,Москва,300,Договор на текущий счет для дебетовой карты,242b4006a9bd8f4276f6ff0558ee9cda,VISA Classic Light,2017,2019,0,0,0,0,2930600,2930600,dc
74,102,993c612ca20adf5ea5db904ddeeb22d1,М,1977,2018-07-20,R,Екатеринбург,72000,Кредитная карта,931b1c9451a9c68480794f2aa7e3f164,,-1,-1,9600,14,0,0,19200,19200,dc
75,108557,9f9fde7c565091e362874cf89c1a72c2,М,1967,2015-12-15,R,Новосибирск,102000,Кредитная карта,934e6487f8f73ddce456d696b268455d,,-1,-1,4600,1,0,0,18300,18300,dc
76,105,2a6f087977393337b2979f34f3e1fcbc,Ж,1978,2019-02-06,N,Смоленск,0,Договор на текущий счет для дебетовой карты,96cdfb269535ae9e10b9e5a0010f67e3,,-1,-1,0,0,0,0,0,0,dc
77,3367,394be9881e72690087d76152a2d43abf,М,1981,2007-01-10,R,Уфа,0,Договор на текущий счет для дебетовой карты,96cdfb269535ae9e10b9e5a0010f67e3,,-1,-1,0,0,0,0,0,0,dc
78,106948,8d1d012d7c04900d85de0d11f546ea98,М,1967,2015-12-15,R,Новосибирск,0,Договор на текущий счет для дебетовой карты,718c04b96c7a03598caa01e82de0cd84,Eurocard/MasterCard World,2018,2021,4600,1,0,0,18300,18300,cc
79,107,601276d07446ab4232338424e6509f3b,М,1986,2009-05-25,R,Уфа,0,Договор на текущий счет для дебетовой карты,ccc531878d88e528baa0634ce25b5419,,-1,-1,0,0,0,0,0,0,dc
80,108,00a1e035ebcd965cc7a357a16af6abf6,Ж,1997,2017-10-20,R,Янаул,0,Договор на текущий счет для дебетовой карты,c6523ec32dd9e7016baa52b0f88bdd68,МИР СКБ,2018,2019,0,0,0,0,0,0,dc
81,30497,b22d9eee564fbcc9c27ed8159e729ca6,М,1967,2015-12-15,R,Новосибирск,105000,Кредитная карта,5fe2177c74cbc4f38ba4cad365552996,,-1,-1,58600,5,0,0,62200,62200,dc
82,114,29b86b50525d08d38d8c2545b6566aae,М,1965,2012-08-23,R,Краснодар,400,Договор на текущий счет для дебетовой карты,7b2d97710fff27240faa5a5d3da539c9,VISA Classic,2019,2021,0,0,2300,400,10000,10300,dc
83,46747,602311545bf232204f066f580508461f,Ж,1967,2007-05-11,R,Дюртюли,0,Договор на текущий счет для дебетовой карты,de7d9748cc7ccbe362b885646d9889ac,Eurocard/MasterCard Mass,2021,-1,9800,12,3500,1600,14400,10600,dc
84,116,6d3104ebae1a6f855417e0e7b56d9469,М,1990,2019-06-11,R,Набережные Челны,0,Договор на текущий счет для дебетовой карты,745702fd478050d4f703df0581298356,VISA Classic,2019,2019,0,0,0,0,0,0,dc
85,119,94cf7f4123de2f8f1d30d39e896535ce,М,1991,2011-11-25,R,Краснодар,0,Договор на текущий счет для дебетовой карты,4987e379e9e34efde1e224b19eab5c4d,,-1,-1,0,0,0,0,0,0,dc
86,171170,a87c8b677a6d079b3e6874ddc12791db,Ж,1959,2012-05-11,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,e37701a4dd077044dd7bcd3250bbc6f7,МИР СКБ,2021,-1,7500,20,16600,2800,29600,28700,dc
87,121,2acb797c53e75b073f7a6052e240ab40,Ж,1952,2009-10-06,R,Уфа,0,Договор на текущий счет для дебетовой карты,dc7216efc514fc10a1a19e51f77eb9f0,Eurocard/MasterCard World,2019,-1,0,0,0,0,0,0,dc
88,16862,103a487d128c7100dfb44775e31f5344,М,1982,2015-01-28,R,Краснодар,0,Договор на текущий счет для дебетовой карты,264c0219ec09da403ce2d985fcb11b2e,Eurocard/MasterCard Mass,2019,-1,16800,34,7500,2200,34800,24400,dc
89,123,04a1adfdff8be4a7d9ddb1d94c3787a6,Ж,1966,2011-04-16,R,Уфа,0,Договор на текущий счет для дебетовой карты,00445d4978fa11d55a5bc37e5b163ad3,Visa Platinum Rewards,2019,2020,0,0,0,0,0,0,dc
90,124,0cc6c5227d154ffe93c95a0b4cab92dd,Ж,1971,2019-05-23,R,Краснодар,34800,Договор на текущий счет для дебетовой карты,bd2da31603a71844f24135989c65fe57,Eurocard/MasterCard Gold,2019,2020,0,1,9400,0,34800,0,dc
91,69517,734bdd2b2dfa50d6c55c8c90d95f04f3,Ж,1968,2012-11-12,R,Уфа,100,Договор на текущий счет для дебетовой карты,796da8bbbd724138f7592b91d301e0f2,VISA Classic,2018,2018,100,1,100,0,100,0,dc
92,69518,734bdd2b2dfa50d6c55c8c90d95f04f3,Ж,1968,2012-11-12,R,Уфа,100,Договор на текущий счет для дебетовой карты,52763188c32ed80ee9a9635dc7546ee9,VISA Gold,2018,-1,100,1,100,0,100,0,dc
93,24157,2fc6c5dd25e10c7eb25fef125b00419e,Ж,1972,2011-10-24,R,Уфа,0,Договор на текущий счет для дебетовой карты,5b806d281b2ac951d2232174a9709367,"Дебет карта ПС МИР ""Бюджетная""",2022,-1,17900,43,50500,32700,855800,877600,dc
94,24158,2fc6c5dd25e10c7eb25fef125b00419e,Ж,1972,2011-10-24,R,Уфа,0,Договор на текущий счет для дебетовой карты,0fffaef7589b91b717f157641b4cfe1a,"Дебет карта ПС МИР ""Бюджетная""",2019,2022,17900,43,50500,32700,855800,877600,dc
95,129,0199f9141e02c25f50c556b1bdd859d7,М,1967,2019-12-09,R,Боровичи,0,Договор на текущий счет для дебетовой карты,9b466b4fcd3021d7c9a3d8ad751375af,Eurocard/MasterCard Mass,2020,-1,0,0,100,0,100,0,dc
96,132,07e00cb09abf9f164fa90156ce82763c,М,1987,2016-05-16,R,Учалы,0,Договор на текущий счет для дебетовой карты,6b38970d61f803c492df2ff7566fbff8,,-1,-1,0,0,0,0,0,0,dc
97,133,fe43be78948675f88806d4aa3d028ef1,Ж,1949,2004-04-14,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,0a5a56ff5569f716adb93eb76db90a37,VISA Classic Light,2016,2020,0,0,0,0,0,0,dc
98,134,fe43be78948675f88806d4aa3d028ef1,Ж,1949,2004-04-14,R,Стерлитамак,0,Договор на текущий счет для дебетовой карты,c60c9d4f7f4aeb5bee7c3da2dce175df,VISA Classic Light,2019,2020,0,0,0,0,0,0,dc
99,137,fc407cf81d36e5c23201f94d95552f08,Ж,1960,2016-05-05,R,Кропоткин,0,Договор на текущий счет для дебетовой карты,4a4ddf4fb06e37e04141759c8896b334,MasterCard Electronic,2016,2017,0,0,0,0,0,0,dc
100,138,271a2eb8fcbd9f2d383587f214fd257a,Ж,1975,2012-04-25,R,Уфа,0,Договор на текущий счет для дебетовой карты,e55aff16479e43960ea90a3ac1335f25,МИР Debit,2017,2020,0,0,0,0,0,0,dc
101,133731,bcf0fb445e801b2ee2ba99d4e4882b25,Ж,1986,2011-11-12,R,Уфа,0,Договор на текущий счет для дебетовой карты,581fa80741d570d8206cba4b078ee56f,МИР Debit,2017,2018,0,0,300,0,13500,13500,dc
102,140,8324158f9b9fdde60be5cf89fcdfc7f2,М,1972,2014-07-11,R,Октябрьский,0,Договор на текущий счет для дебетовой карты,edf37dacec60e175e73ebb8a4394b684,"Дебет карта ПС МИР ""Бюджетная""",2018,2021,0,0,0,0,0,0,dc
103,141,7206557b60c61918ffe9d5e0e4c5586e,Ж,1972,2009-04-09,R,Белгород,0,Договор на текущий счет для дебетовой карты,4c5e3df62b7a8dfcfb4a8307892ab39b,Priority Pass,2019,-1,0,0,0,0,0,0,dc
104,142,7206557b60c61918ffe9d5e0e4c5586e,Ж,1972,2009-04-09,R,Белгород,0,Договор на текущий счет для дебетовой карты,0a696c76a51806bebd74a9f7dd3393b1,VISA Infinite,2019,-1,0,0,0,0,0,0,dc
105,52014,3b1b491f778817059c915092b25ab76a,М,1968,2019-04-15,R,Магнитогорск,0,Договор на текущий счет для дебетовой карты,2cb57cf90e642802fbb0afcdeabdfb8d,МИР СКБ ЗП,2019,-1,24200,57,22800,8700,123200,127100,dc
106,52015,3b1b491f778817059c915092b25ab76a,М,1968,2019-04-15,R,Магнитогорск,0,Договор на текущий счет для дебетовой карты,ab231ef7242d3f9160be2f2ffb6e93db,МИР СКБ ЗП,2020,-1,24200,57,22800,8700,123200,127100,dc
107,145,9712332c81c9cbc34a270113f9deff2c,Ж,1955,2016-10-20,R,Уфа,0,Договор на текущий счет для дебетовой карты,7084bdf1ea908ed13357beb333b96b02,,-1,-1,0,0,0,0,0,0,dc
108,153482,0c759f2b6a4792e793da590b00620279,Ж,1989,2015-08-17,R,Ижевск,0,Договор на текущий счет для дебетовой карты,9fa5f38343bb9a3cb5affee46502cd8d,Eurocard/MasterCard Platinum,2020,-1,0,0,300,700,121000,121700,dc
109,153483,0c759f2b6a4792e793da590b00620279,Ж,1989,2015-08-17,R,Ижевск,0,Договор на текущий счет для дебетовой карты,5adc90ada0b29b56fe4d3993a0816f33,VISA Classic,2017,2020,0,0,300,700,121000,121700,dc
110,153484,0c759f2b6a4792e793da590b00620279,Ж,1989,2015-08-17,R,Ижевск,0,Договор на текущий счет для дебетовой карты,8328c48a9101e36a73fa8d7c62448d1b,VISA Classic Light,2016,2017,0,0,300,700,121000,121700,dc
111,146006,a573fe634fe2de05b8b613f07e39360b,М,1982,2018-10-01,R,Краснодар,0,Договор на текущий счет для дебетовой карты,c930b35e78943bd118265a4f91ab1aa3,Eurocard/MasterCard Mass,2018,-1,1300,4,149100,5100,1199700,1190900,dc
